sno,hallticket,regulation,semister,branch,examtype,dob,17FE02,17FE06,17FE14,17EE50,17ME02,17FE64,17EE72,17ME61,17ME62,sgpa
1,19761A2101,R17,2,ASE,REGULAR,2000-06-02,A,A,C+,O,O,O,O,O,O,8.09
2,19761A2102,R17,2,ASE,REGULAR,2001-06-03,B+,B+,B,B,B,B,B,B,B,7.23
3,19761A2103,R17,2,ASE,REGULAR,2002-06-04,B+,B+,O,C,A+,A+,A+,O,O,7.45
4,19761A2104,R17,2,ASE,REGULAR,2003-06-05,B,B,O,D,A+,A+,A+,O,O,3.09
5,19761A2105,R17,2,ASE,REGULAR,2004-06-05,B,B+,O,E,A+,A+,A+,O,O,7.14
6,19761A2106,R17,2,ASE,REGULAR,2005-06-06,B,A,A+,E,A+,A+,A+,O,O,7.77
7,19761A2107,R17,2,ASE,REGULAR,2006-06-07,B,C,B+,F,A+,A+,A+,O,O,5.05
8,19761A2108,R17,2,ASE,REGULAR,2007-06-08,C,C,C+,C,A+,A+,A+,O,O,6.09
9,19761A2109,R17,2,ASE,REGULAR,2008-06-08,A,O,A+,B,A+,A+,A+,O,O,9.27
10,19761A2110,R17,2,ASE,REGULAR,2009-06-09,B+,A,B,B+,A+,A+,A+,O,O,8
11,19761A2111,R17,2,ASE,REGULAR,2010-06-10,B+,B,F,A,A+,A+,A+,O,O,6.82
12,19761A2113,R17,2,ASE,REGULAR,2011-06-11,B,C,F,A,O,O,O,O,O,9.27
13,19761A2114,R17,2,ASE,REGULAR,2012-06-11,A,O,C+,A,O,O,B+,O,O,5.09
14,19761A2115,R17,2,ASE,REGULAR,2013-06-12,B,A,C+,C,O,O,B+,O,O,3.55
15,19761A2116,R17,2,ASE,REGULAR,2014-06-13,B,C,B+,B,O,O,B+,O,O,6.82
16,19761A2117,R17,2,ASE,REGULAR,2015-06-14,B+,B,A+,B,O,O,B+,O,O,5.91
17,19761A2118,R17,2,ASE,REGULAR,2016-06-14,B,C,B,B,O,O,B+,O,O,6.23
18,19761A2119,R17,2,ASE,REGULAR,2017-06-15,B,B,C+,B,O,O,B+,O,O,7.09
19,19761A2120,R17,2,ASE,REGULAR,2018-06-16,B+,B,D,B,O,O,B+,O,O,6
20,19761A2121,R17,2,ASE,REGULAR,2019-06-17,B+,B,E,F,B,O,B+,O,O,6.27
