sno,hallticket,regulation,semister,branch,examtype,dob,17FE02,17FE06,17FE12,17EC03,17EC04,17FE62,17ME60,17EC62,SGPA
1,19761A0401,R17,2,ECE,reg,2002-04-05,B+,B+,B+,A+,A,B+,A+,A+,7.2
2,19761A0402,R17,2,ECE,reg,2003-04-06,O,A+,A+,O,B+,B+,B,A+,8.2
3,19761A0403,R17,2,ECE,reg,2004-04-06,B+,O,O,B,O,B+,B,O,9.2
4,19761A0404,R17,2,ECE,reg,2005-04-07,O,B+,A+,B+,A+,O,A+,A+,9.7
5,19761A0405,R17,2,ECE,reg,2006-04-08,A,A+,B+,O,B+,B+,A+,A+,8.3
6,19761A0406,R17,2,ECE,reg,2007-04-09,B+,O,B+,A+,B+,B+,B+,A+,9.3
7,19761A0407,R17,2,ECE,reg,2008-04-09,O,A+,O,A+,B+,B+,B+,O,7.3
8,19761A0408,R17,2,ECE,reg,2009-04-10,A,A+,B+,O,B+,B+,B+,O,8.3
9,19761A0409,R17,2,ECE,reg,2010-04-11,A+,O,B+,A+,B+,A,O,O,7.2
10,19761A0410,R17,2,ECE,reg,2011-04-12,B+,A+,O,A+,B+,A,B+,A+,9.6
11,19761A0411,R17,2,ECE,reg,2012-04-12,O,A+,B+,A+,B+,B+,O,A+,6.3
12,19761A0412,R17,2,ECE,reg,2013-04-13,B+,A+,B+,A+,O,A,O,B,7.3
13,19761A0413,R17,2,ECE,reg,2014-04-14,A,O,O,A+,B+,B+,B+,B,6.3
14,19761A0414,R17,2,ECE,reg,2015-04-15,A,B+,B+,A+,O,O,A+,B,9.5
15,19761A0415,R17,2,ECE,reg,2016-04-15,A,A+,B+,O,B+,B+,A+,A+,9.6
16,19761A0416,R17,2,ECE,reg,2017-04-16,A,A+,B+,A+,B+,B+,A+,B,9.5
17,19761A0417,R17,2,ECE,reg,2018-04-17,O,B+,O,O,O,O,A+,B,9.8
18,19761A0418,R17,2,ECE,reg,2019-04-18,B+,A+,B+,A+,B+,B+,A+,B,7.6
19,19761A0419,R17,2,ECE,reg,2020-04-18,O,O,A+,O,O,O,B+,B,6.3
20,19761A0420,R17,2,ECE,reg,2021-04-19,B+,A+,B+,A+,B+,B+,B+,B,9.6
