sno,hallticket,regulation,semister,branch,examtype,dob,17FE02,17FE06,17FE14,17ME51,17EE01,17FE64,17ME76,17ME75,17EE60,SGPA
1,19761A0201,R17,2,EEE,REGULAR,2002-02-01,B+,F,B,F,P,A+,A,A+,B+,4.5
2,19761A0202,R17,2,EEE,REGULAR,2002-02-02,O,A+,A,B,B+,B,A,A+,A,8.5
3,19761A0203,R17,2,EEE,REGULAR,2002-02-03,A+,A+,B,B,B+,A+,B,B,B+,7
4,19761A0204,R17,2,EEE,REGULAR,2002-02-04,A,B,C,F,B,C,C,B,A,5.55
5,19761A0205,R17,2,EEE,REGULAR,2002-02-05,O,A,A+,O,B+,A+,A,A+,A,9.05
6,19761A0206,R17,2,EEE,REGULAR,2002-02-06,A,A+,A+,A,B,B+,B,A+,O,8.36
7,19761A0207,R17,2,EEE,REGULAR,2002-02-07,B+,A+,A,A+,P,F,B,F,B+,4.91
8,19761A0208,R17,2,EEE,REGULAR,2002-02-08,F,F,B+,B+,B+,B+,B+,B+,B+,7.84
9,19761A0209,R17,2,EEE,REGULAR,2002-02-09,O,A+,B,A,B,A+,A,A+,A,8.27
10,19761A0210,R17,2,EEE,REGULAR,2002-02-10,B+,B,B,A+,B+,B,B,A+,A+,7.5
11,19761A0211,R17,2,EEE,REGULAR,2002-02-11,A+,O,A+,B,B,A+,B,A+,A,8.73
12,19761A0212,R17,2,EEE,REGULAR,2002-02-12,P,A,F,B,B,F,A,B,A,4.45
13,19761A0213,R17,2,EEE,REGULAR,2002-02-13,A,A+,B,A+,B+,B,B,A+,A+,6.09
14,19761A0214,R17,2,EEE,REGULAR,2002-02-14,B+,A+,A+,B,B,A+,B,A+,A,6.5
15,19761A0215,R17,2,EEE,REGULAR,2002-02-15,F,F,B,A,B,A+,A,A+,A,8.09
16,19761A0216,R17,2,EEE,REGULAR,2002-02-16,F,A+,F,A+,B+,B,B,F,A+,4.86
17,19761A0217,R17,2,EEE,REGULAR,2002-02-17,B+,B,A+,B,B,A+,B,A+,A,7.91
18,19761A0218,R17,2,EEE,REGULAR,2002-02-18,A+,B,B,F,B,P,B,P,B,5.82
19,19761A0219,R17,2,EEE,REGULAR,2002-02-19,O,A,B,A+,B+,B,B,A+,A+,8.5
20,19761A0220,R17,2,EEE,REGULAR,2002-02-20,A,A+,A+,B,B,A+,B,A+,A,8.82
