sno,hallticket,regulation,semister,branch,examtype,dob,17FE02,17FE06,17FE12,17EI01,17EC02,17FE62,17FE60,17EC61,17ME60,sgpa
1,19761A1001,R17,2,EIE,REGULAR,2000-01-01,B+,O,O,O,O,O,O,O,O,9.52
2,19761A1002,R17,2,EIE,REGULAR,2000-01-02,A+,O,O,O,O,O,O,O,O,9.56
3,19761A1003,R17,2,EIE,REGULAR,2000-01-03,F,A+,O,A+,B+,A+,B+,A+,B+,5.23
4,19761A1004,R17,2,EIE,REGULAR,2000-01-04,F,A+,O,O,O,F,F,F,B+,5.89
5,19761A1005,R17,2,EIE,REGULAR,2000-01-05,C,O,O,A+,O,A+,A+,A+,A+,5.45
6,19761A1006,R17,2,EIE,REGULAR,2000-01-06,C,O,O,O,B+,O,B+,O,B+,9.52
7,19761A1007,R17,2,EIE,REGULAR,2000-01-07,C,O,O,A+,O,O,O,O,A+,8.56
8,19761A1008,R17,2,EIE,REGULAR,2000-01-08,B+,O,O,O,O,F,F,B+,B+,6.54
9,19761A1009,R17,2,EIE,REGULAR,2000-01-09,A+,O,O,O,O,O,O,O,O,9.87
10,19761A1010,R17,2,EIE,REGULAR,2000-01-10,B+,O,O,O,O,O,O,O,O,9.56
11,19761A1011,R17,2,EIE,REGULAR,2000-01-11,B+,A+,O,A+,O,A+,O,A+,O,9.57
12,19761A1012,R17,2,EIE,REGULAR,2000-01-12,B+,O,O,O,O,O,O,O,O,9.58
13,19761A1013,R17,2,EIE,REGULAR,2000-01-13,B+,A+,O,A+,O,A+,O,A+,O,9.32
14,19761A1014,R17,2,EIE,REGULAR,2000-01-14,B+,O,O,O,F,F,F,F,F,2.03
15,19761A1015,R17,2,EIE,REGULAR,2000-01-15,B+,A+,O,A+,O,A+,O,A+,O,8.25
16,19761A1016,R17,2,EIE,REGULAR,2000-01-16,B+,O,O,O,A+,A+,A+,A+,A+,6.25
17,19761A1017,R17,2,EIE,REGULAR,2000-01-17,B+,A+,O,A+,B+,A+,A+,F,F,7.05
18,19761A1018,R17,2,EIE,REGULAR,2000-01-18,B+,O,O,O,A+,A+,A+,F,F,6.52
19,19761A1019,R17,2,EIE,REGULAR,2000-01-19,B+,A+,O,A+,B+,A+,A+,B+,C,6.3
20,19761A1020,R17,2,EIE,REGULAR,2000-01-20,B+,O,O,O,A+,A+,A+,A+,O,7.56
